,Age,Gender,Location,Phone Brand,OS,Scr_time(h/d),data_usage(gb/mo),calls_dur(min/d),installed_apps,soical_media(h/d),E-commerce(INR/m),streaming(hrs/d),gaming(hrs/d),recharge(INR),Primary_Use
0,53,Male,Mumbai,Vivo,Android,3.7,23.9,37.9,104,3.9,469,5.2,4.1,803,Education
1,60,Other,Delhi,Realme,Android,9.2,28.1,13.7,169,2.8,4997,5.1,0.4,1526,Gaming
2,37,Female,Ahmedabad,Nokia,Android,4.5,12.3,66.8,96,3.0,2381,1.7,2.9,1619,Entertainment
3,32,Male,Pune,Samsung,Android,11.0,25.6,156.2,146,5.2,1185,3.2,0.3,1560,Entertainment
4,16,Male,Mumbai,Xiaomi,Android,2.2,2.5,236.2,86,5.5,106,3.4,2.3,742,Social Media
5,21,Male,Jaipur,Oppo,Android,5.4,10.6,210.6,25,4.2,6285,0.6,4.8,1749,Entertainment
6,57,Female,Lucknow,Apple,iOS,6.0,35.2,154.5,123,0.8,2653,2.9,2.3,1073,Social Media
7,56,Other,Kolkata,Realme,Android,3.1,43.5,125.3,188,2.3,9767,5.2,5.0,1136,Entertainment
8,46,Female,Kolkata,Oppo,Android,5.3,46.4,21.3,194,3.7,2870,6.1,2.8,1253,Entertainment
9,44,Other,Kolkata,Apple,iOS,9.9,10.6,180.2,84,4.8,9193,7.6,0.4,168,Education
10,55,Other,Lucknow,Nokia,Android,1.6,23.7,192.0,27,3.1,9330,1.2,2.3,1098,Work
11,41,Female,Delhi,Oppo,Android,7.5,23.5,84.9,187,0.9,643,3.5,2.7,151,Social Media
12,53,Male,Bangalore,Realme,Android,10.5,1.4,33.7,137,4.5,7854,7.2,1.4,240,Education
13,35,Male,Jaipur,Realme,Android,10.3,32.4,247.1,124,5.2,3347,3.8,4.5,972,Social Media
14,33,Female,Jaipur,Samsung,Android,1.7,33.2,208.8,121,3.0,3185,4.2,0.5,1046,Entertainment
15,52,Male,Bangalore,Google Pixel,Android,5.1,28.5,169.2,161,4.6,6175,4.4,4.3,1769,Work
16,46,Other,Mumbai,Apple,iOS,3.1,23.6,153.9,183,2.5,6242,6.2,0.4,1679,Education
17,54,Male,Kolkata,Apple,iOS,11.6,12.6,210.4,62,4.9,4642,0.9,4.1,1360,Entertainment
18,50,Female,Chennai,Google Pixel,Android,5.3,5.2,235.6,188,4.6,1120,1.0,0.8,1639,Work
19,40,Other,Hyderabad,Motorola,Android,9.0,38.9,289.6,62,2.4,8012,7.7,2.0,1224,Work
20,60,Male,Pune,Samsung,Android,10.4,46.0,38.0,110,3.0,511,6.8,1.3,311,Social Media
21,59,Other,Pune,Xiaomi,Android,11.7,9.1,203.9,101,5.8,2579,2.6,4.1,446,Gaming
22,46,Other,Chennai,Samsung,Android,8.1,15.5,206.8,77,5.9,1776,3.4,2.5,899,Social Media
23,16,Female,Hyderabad,Vivo,Android,1.4,25.5,222.0,141,1.6,1119,2.8,0.4,1118,Gaming
24,29,Female,Bangalore,Realme,Android,7.0,41.7,51.0,130,1.4,2604,3.5,1.6,1154,Education
25,36,Male,Hyderabad,Vivo,Android,5.6,47.4,155.4,123,5.9,1886,2.3,3.0,955,Work
26,15,Male,Delhi,Vivo,Android,9.2,42.7,230.9,180,0.5,4611,1.0,2.5,210,Gaming
27,41,Other,Jaipur,Realme,Android,8.1,44.1,81.8,25,1.9,5545,5.7,3.7,1488,Education
28,51,Female,Kolkata,Vivo,Android,10.7,45.1,94.0,127,3.5,2293,6.7,5.0,333,Education
29,45,Female,Hyderabad,Realme,Android,6.3,34.5,244.3,125,5.0,1647,5.9,0.2,1541,Entertainment
30,39,Female,Jaipur,Motorola,Android,4.0,9.4,194.2,32,1.5,8314,6.7,3.5,447,Entertainment
31,40,Female,Lucknow,OnePlus,Android,8.4,25.7,262.8,174,1.3,3010,4.9,3.0,419,Education
